FROM ZONE,TO ZONE,0.3kg,0.5kg,1kg,2kg,3kg,4kg,5kg,6kg,7kg,8kg,9kg,10kg,11kg,12kg,13kg,14kg,15kg,16kg,17kg,18kg,19kg,20kg,21kg,22kg,23kg,24kg,25kg,26kg,27kg,28kg,29kg,30kg,31kg,32kg,33kg,34kg,35kg,36kg,37kg,38kg,39kg,40kg
SUN,CFS,11.868,11.868,13.416,19.62,19.62,20.772,20.772,22.368,23.28,24.192,25.104,26.016,26.928,27.84,28.752,29.664,30.576,31.488,32.4,33.312,34.224,35.136,36.048,36.96,37.872,38.784,39.696,49.608,50.52,51.432,52.344,53.256,54.168,55.08,55.992,56.904,57.816,58.728,59.64,60.552,61.464,62.376
SUN,MYB,11.868,11.868,13.416,19.62,19.62,20.772,20.772,22.164,23.892,25.62,27.348,29.076,30.804,32.532,34.26,35.988,37.716,39.444,41.172,42.9,44.628,46.356,48.084,49.812,51.54,53.268,54.996,65.724,67.452,69.18,70.908,72.636,74.364,76.092,77.82,79.548,81.276,83.004,84.732,86.46,88.188,89.916
SUN,NEW,11.868,11.868,13.416,19.62,19.62,20.772,20.772,22.368,24.324,26.28,28.236,30.192,32.148,34.104,36.06,38.016,39.972,41.928,43.884,45.84,47.796,49.752,51.708,53.664,55.62,57.576,59.532,70.488,72.444,74.4,76.356,78.312,80.268,82.224,84.18,86.136,88.092,90.048,92.004,93.96,95.916,97.872
SUN,NTH,11.868,11.868,13.416,19.62,19.62,20.772,20.772,22.368,23.94,25.512,27.084,28.656,30.228,31.8,33.372,34.944,36.516,38.088,39.66,41.232,42.804,44.376,45.948,47.52,49.092,50.664,52.236,62.808,64.38,65.952,67.524,69.096,70.668,72.24,73.812,75.384,76.956,78.528,80.1,81.672,83.244,84.816
SUN,PQQ,11.868,11.868,13.416,19.62,19.62,20.772,20.772,22.368,23.94,25.512,27.084,28.656,30.228,31.8,33.372,34.944,36.516,38.088,39.66,41.232,42.804,44.376,45.948,47.52,49.092,50.664,52.236,62.808,64.38,65.952,67.524,69.096,70.668,72.24,73.812,75.384,76.956,78.528,80.1,81.672,83.244,84.816
SUN,SYD,11.868,11.868,13.416,19.62,19.62,20.772,20.772,22.368,23.544,24.72,25.896,27.072,28.248,29.424,30.6,31.776,32.952,34.128,35.304,36.48,37.656,38.832,40.008,41.184,42.36,43.536,44.712,54.888,56.064,57.24,58.416,59.592,60.768,61.944,63.12,64.296,65.472,66.648,67.824,69,70.176,71.352
SUN,WOL,11.868,11.868,13.416,19.62,19.62,20.772,20.772,22.368,23.544,24.72,25.896,27.072,28.248,29.424,30.6,31.776,32.952,34.128,35.304,36.48,37.656,38.832,40.008,41.184,42.36,43.536,44.712,54.888,56.064,57.24,58.416,59.592,60.768,61.944,63.12,64.296,65.472,66.648,67.824,69,70.176,71.352
SUN,ALB,11.868,11.868,13.416,19.62,19.62,22.992,22.992,25.44,27.012,28.584,30.156,31.728,33.3,34.872,36.444,38.016,39.588,41.16,42.732,44.304,45.876,47.448,49.02,50.592,52.164,53.736,55.308,65.88,67.452,69.024,70.596,72.168,73.74,75.312,76.884,78.456,80.028,81.6,83.172,84.744,86.316,87.888
SUN,BEN,11.868,11.868,13.416,19.62,19.62,22.992,22.992,34.812,36.9,38.988,41.076,43.164,45.252,47.34,49.428,51.516,53.604,55.692,57.78,59.868,61.956,64.044,66.132,68.22,70.308,72.396,74.484,85.572,87.66,89.748,91.836,93.924,96.012,98.1,100.188,102.276,104.364,106.452,108.54,110.628,112.716,114.804
SUN,CBR,11.868,11.868,13.416,19.62,19.62,22.992,22.992,25.476,27.312,29.148,30.984,32.82,34.656,36.492,38.328,40.164,42,43.836,45.672,47.508,49.344,51.18,53.016,54.852,56.688,58.524,60.36,71.196,73.032,74.868,76.704,78.54,80.376,82.212,84.048,85.884,87.72,89.556,91.392,93.228,95.064,96.9
