SUBURB,POSTCODE,STATE,ZONE
MARRICKVILLE METRO,2204,NSW,SYD
MARRICKVILLE SOUTH,2204,NSW,SYD
ARNCLIFFE,2205,NSW,SYD
TURRELLA,2205,NSW,SYD
WOLLI CREEK,2205,NSW,SYD
CLEMTON PARK,2206,NSW,SYD
EARLWOOD,2206,NSW,SYD
UNDERCLIFFE,2206,NSW,SYD
BARDWELL PARK,2207,NSW,SYD
BARDWELL VALLEY,2207,NSW,SYD
BEXLEY,2207,NSW,SYD
BEXLEY NORTH,2207,NSW,SYD
BEXLEY SOUTH,2207,NSW,SYD
KINGSGROVE,2208,NSW,SYD
KINGSWAY WEST,2208,NSW,SYD
BEVERLY HILLS,2209,NSW,SYD
NARWEE,2209,NSW,SYD
LUGARNO,2210,NSW,SYD
PEAKHURST,2210,NSW,SYD
PEAKHURST HEIGHTS,2210,NSW,SYD
RIVERWOOD,2210,NSW,SYD
PADSTOW,2211,NSW,SYD
PADSTOW HEIGHTS,2211,NSW,SYD
REVESBY,2212,NSW,SYD
REVESBY HEIGHTS,2212,NSW,SYD
REVESBY NORTH,2212,NSW,SYD
EAST HILLS,2213,NSW,SYD
PANANIA,2213,NSW,SYD
PICNIC POINT,2213,NSW,SYD
MILPERRA,2214,NSW,SYD
BANKSIA,2216,NSW,SYD
BRIGHTON LE SANDS,2216,NSW,SYD
BRIGHTON-LE-SANDS,2216,NSW,SYD
KYEEMAGH,2216,NSW,SYD
ROCKDALE,2216,NSW,SYD
BEVERLEY PARK,2217,NSW,SYD
KOGARAH,2217,NSW,SYD
KOGARAH BAY,2217,NSW,SYD
MONTEREY,2217,NSW,SYD
RAMSGATE,2217,NSW,SYD
RAMSGATE BEACH,2217,NSW,SYD
ALLAWAH,2218,NSW,SYD
CARLTON,2218,NSW,SYD
DOLLS POINT,2219,NSW,SYD
SANDRINGHAM,2219,NSW,SYD
SANS SOUCI,2219,NSW,SYD
HURSTVILLE,2220,NSW,SYD
HURSTVILLE GROVE,2220,NSW,SYD
HURSTVILLE WESTFIELD,2220,NSW,SYD
BLAKEHURST,2221,NSW,SYD
CARSS PARK,2221,NSW,SYD
CONNELLS POINT,2221,NSW,SYD
KYLE BAY,2221,NSW,SYD
SOUTH HURSTVILLE,2221,NSW,SYD
PENSHURST,2222,NSW,SYD
MORTDALE,2223,NSW,SYD
OATLEY,2223,NSW,SYD
KANGAROO POINT,2224,NSW,SYD
SYLVANIA,2224,NSW,SYD
SYLVANIA SOUTHGATE,2224,NSW,SYD
SYLVANIA WATERS,2224,NSW,SYD
CARAVAN HEAD,2225,NSW,SYD
OYSTER BAY,2225,NSW,SYD
BONNET BAY,2226,NSW,SYD
COMO,2226,NSW,SYD
JANNALI,2226,NSW,SYD
GYMEA,2227,NSW,SYD
GYMEA BAY,2227,NSW,SYD
MIRANDA,2228,NSW,SYD
YOWIE BAY,2228,NSW,SYD
CARINGBAH,2229,NSW,SYD
CARINGBAH SOUTH,2229,NSW,SYD
DOLANS BAY,2229,NSW,SYD
LILLI PILLI,2229,NSW,SYD
PORT HACKING,2229,NSW,SYD
TAREN POINT,2229,NSW,SYD
BURRANEER,2230,NSW,SYD
