SUBURB,POSTCODE,ComCat,Region
DAVIDSON,2085,DAVIDSON2085,SYD
DAWES POINT,2000,DAWES POINT2000,SYD
DEAN PARK,2761,DEAN PARK2761,SYD
DEE WHY,2099,DEE WHY2099,SYD
DEE WHY BEACH,2099,DEE WHY BEACH2099,SYD
DENHAM COURT,2565,DENHAM COURT2565,SYD
DENISTONE,2114,DENISTONE2114,SYD
DENISTONE EAST,2112,DENISTONE EAST2112,SYD
DENISTONE WEST,2114,DENISTONE WEST2114,SYD
DHARRUK,2770,DHARRUK2770,SYD
DIAMOND BAY,2030,DIAMOND BAY2030,SYD
DOLANS BAY,2229,DOLANS BAY2229,SYD
DOLLS POINT,2219,DOLLS POINT2219,SYD
DOONSIDE,2767,DOONSIDE2767,SYD
DOUBLE BAY,2028,DOUBLE BAY2028,SYD
DOVER HEIGHTS,2030,DOVER HEIGHTS2030,SYD
DRUMMOYNE,2047,DRUMMOYNE2047,SYD
DUFFYS FOREST,2084,DUFFYS FOREST2084,SYD
DULWICH HILL,2203,DULWICH HILL2203,SYD
DUNDAS,2117,DUNDAS2117,SYD
DUNDAS VALLEY,2117,DUNDAS VALLEY2117,SYD
DURAL,2158,DURAL2158,SYD
EAGLE VALE,2558,EAGLE VALE2558,SYD
EARLWOOD,2206,EARLWOOD2206,SYD
EAST HILLS,2213,EAST HILLS2213,SYD
EAST KILLARA,2071,EAST KILLARA2071,SYD
EAST LINDFIELD,2070,EAST LINDFIELD2070,SYD
EAST RYDE,2113,EAST RYDE2113,SYD
EASTERN CREEK,2766,EASTERN CREEK2766,SYD
EASTERN SUBURBS MC,2004,EASTERN SUBURBS MC2004,SYD
EASTGARDENS,2036,EASTGARDENS2036,SYD
EASTLAKES,2018,EASTLAKES2018,SYD
EASTWOOD,2122,EASTWOOD2122,SYD
EDENSOR PARK,2176,EDENSOR PARK2176,SYD
EDGECLIFF,2027,EDGECLIFF2027,SYD
EDMONDSON PARK,2174,EDMONDSON PARK2174,SYD
ELANORA HEIGHTS,2101,ELANORA HEIGHTS2101,SYD
ELDERSLIE,2570,ELDERSLIE2570,SYD
ELIZABETH BAY,2011,ELIZABETH BAY2011,SYD
ELIZABETH HILLS,2171,ELIZABETH HILLS2171,SYD
EMERTON,2770,EMERTON2770,SYD
EMU HEIGHTS,2750,EMU HEIGHTS2750,SYD
EMU PLAINS,2750,EMU PLAINS2750,SYD
ENFIELD,2136,ENFIELD2136,SYD
ENFIELD SOUTH,2133,ENFIELD SOUTH2133,SYD
ENGADINE,2233,ENGADINE2233,SYD
ENGLORIE PARK,2560,ENGLORIE PARK2560,SYD
ENMORE,2042,ENMORE2042,SYD
EPPING,2121,EPPING2121,SYD
ERMINGTON,2115,ERMINGTON2115,SYD
ERSKINE PARK,2759,ERSKINE PARK2759,SYD
ERSKINEVILLE,2043,ERSKINEVILLE2043,SYD
ESCHOL PARK,2558,ESCHOL PARK2558,SYD
EVELEIGH,2015,EVELEIGH2015,SYD
FAIRFIELD,2165,FAIRFIELD2165,SYD
FAIRFIELD EAST,2165,FAIRFIELD EAST2165,SYD
FAIRFIELD HEIGHTS,2165,FAIRFIELD HEIGHTS2165,SYD
FAIRFIELD WEST,2165,FAIRFIELD WEST2165,SYD
FAIRLIGHT,2094,FAIRLIGHT2094,SYD
FIDDLETOWN,2159,FIDDLETOWN2159,SYD
FIVE DOCK,2046,FIVE DOCK2046,SYD
FOREST LODGE,2037,FOREST LODGE2037,SYD
FORESTVILLE,2087,FORESTVILLE2087,SYD
FRENCHS FOREST,2086,FRENCHS FOREST2086,SYD
FRENCHS FOREST EAST,2086,FRENCHS FOREST EAST2086,SYD
FRESHWATER,2096,FRESHWATER2096,SYD
GABLES,2765,GABLES2765,SYD
GALSTON,2159,GALSTON2159,SYD
GEORGES HALL,2198,GEORGES HALL2198,SYD
GIRRAWEEN,2145,GIRRAWEEN2145,SYD
GLADESVILLE,2111,GLADESVILLE2111,SYD
